STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/2/2020,54,",,7",39,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/3/2020,51,",,7",39,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/4/2020,60,",,7",38,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/5/2020,48,",,7",37,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/6/2020,46,",,7",37,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/7/2020,52,",,7",46,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/8/2020,55,",,7",40,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/9/2020,42,",,7",33,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/10/2020,40,",,7",33,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/11/2020,45,",,7",34,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/12/2020,45,",,7",34,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/13/2020,43,",,7",30,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/15/2020,34,",,7",24,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/16/2020,37,",,7",31,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/17/2020,44,",,7",32,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/18/2020,41,",,7",33,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/19/2020,44,",,7",33,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/21/2020,54,",,7",33,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/22/2020,49,",,7",44,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/23/2020,49,",,7",43,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/24/2020,52,",,7",47,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/25/2020,49,",,7",44,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/26/2020,49,",,7",43,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/27/2020,55,",,7",43,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/28/2020,54,",,7",43,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/29/2020,50,",,7",43,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/30/2020,49,",,7",35,",,7"
USC00452675,"EVERETT, WA US",47.9752,-122.195,18.3,1/31/2020,54,",,7",38,",,7"
